Date,Wilayah,Lokasi,Engine,Irigator,Jenis Irigator,Plan Time,Luas Siram,Kecepatan Rata-rata,Tebal Siram,Prepare Time,Operating Time,Waiting Time,Repair,Down Time,Standby,Off Time,Tot. Oper. Time,Total Avail,Total Time,% Availability,% Utilization,Air,Solar Terpakai (ltr),Biaya Solar (Std),Biaya Upah,Biaya Alat,Biaya Total,Rp/Ha,Ha/Hari,Ha/Jam,Solar Ltr/jam,Solar Ltr/Ha,Jenis Engine
30-Mei,AW10,125G,SPE0002,ITI0169,ITI,"8,71","1,11","30,00","18,00","3,50","4,00","2,00","0,00","0,00","0,00","0,00","7,50","9,50","9,50","100,00","42,11","390,00",0,Rp640,Rp430.872,Rp1.225.632,Rp1.657.144,Rp1.492.923,"1,11","0,28","0,00","0,00",SPE
30-Mei,AW10,114F,SPC0222,ITI0285,ITI,"22,00","3,57","30,00","18,00","7,00","17,00","0,00","0,00","0,00","0,00","0,00","24,00","24,00","24,00","100,00","70,83","690,00",120,Rp3.964.808,Rp814.170,Rp2.790.176,Rp7.569.154,Rp2.120.211,"3,57","0,21","7,06","33,61",SPC
30-Mei,AW10,120B,SPC0221,ITI0286,ITI,"22,00","3,15","30,00","18,00","9,00","15,00","0,00","0,00","0,00","0,00","0,00","24,00","24,00","24,00","100,00","62,50","560,00",110,Rp3.498.360,Rp801.234,Rp2.461.920,Rp6.761.514,Rp2.146.512,"3,15","0,21","7,33","34,92",SPC
30-Mei,AW11,124D,SPC0113,ITI0010,ITI,"22,00","3,23","30,00","18,00","8,00","15,00","1,00","0,00","0,00","0,00","0,00","23,00","24,00","24,00","100,00","62,50","600,00",120,Rp3.498.360,Rp797.028,Rp2.461.920,Rp6.757.308,Rp2.092.046,"3,23","0,22","8,00","37,15",SPC
31-Mei,AW08,303C,DEM0035,ITI0112,ITI,"22,00","2,96","40,00","18,00","6,00","11,00","5,00","2,00","0,00","0,00","0,00","17,00","22,00","24,00","91,67","50,00","559,00",139,Rp1.147.773,Rp744.384,Rp1.212.563,Rp3.104.720,Rp1.048.892,"2,96","0,27","12,64","46,96",DEM
31-Mei,AW08,110F,SPC0219,ITI0078,ITI,"22,00","4,01","30,00","18,00","2,00","18,00","4,00","0,00","0,00","0,00","0,00","20,00","24,00","24,00","100,00","75,00","708,00",110,Rp4.198.032,Rp804.132,Rp2.954.304,Rp7.956.468,Rp1.984.157,"4,01","0,22","6,11","27,43",SPC
31-Mei,AW08,109G,SPC0217,ITI0113,ITI,"11,00","0,35","40,00","17,00","1,00","1,50","9,50","0,00","0,00","0,00","0,00","2,50","12,00","12,00","100,00","12,50","60,00",20,Rp349.836,Rp387.039,Rp246.194,Rp983.069,Rp2.808.769,"0,35","0,23","13,33","57,14",SPC
31-Mei,AW08,111I,SPC0062,ITI0144,ITI,"16,04","2,24","40,00","17,50","2,50","10,00","1,00","4,00","0,00","0,00","0,00","12,50","13,50","17,50","77,14","74,07","400,00",40,Rp2.332.240,Rp696.441,Rp1.641.280,Rp4.669.961,Rp2.084.804,"2,24","0,22","4,00","17,86",SPC
31-Mei,AW08,111C9,SPC0195,ITI0186,ITI,"11,00","1,62","40,00","26,00","0,00","8,00","4,00","0,00","0,00","0,00","0,00","8,00","12,00","12,00","100,00","66,67","430,00",65,Rp1.865.792,Rp304.002,Rp1.313.024,Rp3.482.818,Rp2.149.888,"1,62","0,20","8,13","40,12",SPC
31-Mei,AW08,112A,SPC0195,ITI0186,ITI,"11,00","1,70","40,00","26,00","0,50","8,00","3,50","0,00","0,00","0,00","0,00","8,50","12,00","12,00","100,00","66,67","450,00",70,Rp1.865.792,Rp450.015,Rp1.313.024,Rp3.628.831,Rp2.134.606,"1,70","0,21","8,75","41,18",SPC
31-Mei,AW08,111D1,SPC0193,ITI0230,ITI,"10,08","0,50","40,00","15,00","5,00","2,00","0,00","1,00","0,00","0,00","3,00","7,00","10,00","11,00","90,91","28,57","70,00",10,Rp466.448,Rp264.690,Rp328.256,Rp1.059.394,Rp2.118.788,"0,50","0,25","5,00","20,00",SPC
31-Mei,AW08,117C1,SPC0095,ITI0284,ITI,"11,00","1,65","40,00","18,00","2,00","7,00","3,00","0,00","0,00","0,00","0,00","9,00","12,00","12,00","100,00","58,33","332,00",50,Rp1.632.568,Rp341.766,Rp1.148.896,Rp3.123.230,Rp1.892.867,"1,65","0,24","7,14","30,30",SPC
31-Mei,AW08,117C,SPC0095,ITI0284,ITI,"11,00","1,67","40,00","19,00","2,00","7,00","3,00","0,00","0,00","0,00","0,00","9,00","12,00","12,00","100,00","58,33","331,00",50,Rp1.632.568,Rp305.758,Rp1.148.896,Rp3.087.222,Rp1.848.636,"1,67","0,24","7,14","29,94",SPC
31-Mei,AW09,118L,DEM0071,ITI0110,ITI,"8,25","1,89","30,00","18,00","0,00","9,00","0,00","0,00","0,00","0,00","0,00","9,00","9,00","9,00","100,00","100,00","450,00",65,Rp939.087,Rp329.391,Rp992.097,Rp2.260.575,Rp1.196.071,"1,89","0,21","7,22","34,39",DEM
31-Mei,AW09,119C2,SPC0125,ITI0002,ITI,"11,00","2,23","30,00","20,00","1,00","11,00","0,00","0,00","0,00","0,00","0,00","12,00","12,00","12,00","100,00","91,67","571,00",110,Rp2.565.464,Rp350.539,Rp1.805.408,Rp4.721.411,Rp2.117.225,"2,23","0,20","10,00","49,33",SPC
31-Mei,AW09,115F,SPC0096,ITI0025,ITI,"8,25","0,99","30,00","20,00","0,00","7,00","1,50","0,50","0,00","0,00","0,00","7,00","8,50","9,00","94,44","82,35","110,00",38,Rp1.632.568,Rp273.411,Rp1.148.896,Rp3.054.875,Rp3.085.732,"0,99","0,14","5,43","38,38",SPC
31-Mei,AW09,115D,SPC0156,ITI0138,ITI,"22,00","4,20","30,00","18,00","1,00","20,00","3,00","0,00","0,00","0,00","0,00","21,00","24,00","24,00","100,00","83,33","860,00",150,Rp4.664.480,Rp849.984,Rp3.282.560,Rp8.797.024,Rp2.094.530,"4,20","0,21","7,50","35,71",SPC
31-Mei,AW09,105B,SPC0157,ITI0231,ITI,"22,00","3,72","30,00","22,00","0,50","20,00","3,50","0,00","0,00","0,00","0,00","20,50","24,00","24,00","100,00","83,33","840,00",120,Rp4.664.480,Rp821.822,Rp3.282.560,Rp8.768.862,Rp2.357.221,"3,72","0,19","6,00","32,26",SPC
31-Mei,AW09,115I,SPC0135,ITI0232,ITI,"22,00","3,25","30,00","18,00","4,00","19,00","1,00","0,00","0,00","0,00","0,00","23,00","24,00","24,00","100,00","79,17","860,00",135,Rp4.431.256,Rp792.742,Rp3.118.432,Rp8.342.430,Rp2.566.902,"3,25","0,17","7,11","41,54",SPC
31-Mei,AW09,114K,SPC0097,ITI0238,ITI,"22,00","4,19","30,00","20,00","2,00","20,00","2,00","0,00","0,00","0,00","0,00","22,00","24,00","24,00","100,00","83,33","870,00",141,Rp4.664.480,Rp846.128,Rp3.282.560,Rp8.793.168,Rp2.098.608,"4,19","0,21","7,05","33,65",SPC
31-Mei,AW10,127A,DEC0042,ITI0241,ITI,"21,08","5,16","30,00","20,00","2,50","18,00","2,50","0,00","0,00","0,00","0,00","20,50","23,00","23,00","100,00","78,26","680,00",184,Rp3.530.160,Rp859.360,Rp2.267.946,Rp6.657.466,Rp1.290.207,"5,16","0,29","10,22","35,66",DEC
31-Mei,AW10,132C,SPC0117,ITI0114,ITI,"22,00","3,60","30,00","20,00","2,00","22,00","0,00","0,00","0,00","0,00","0,00","24,00","24,00","24,00","100,00","91,67","910,00",190,Rp5.130.928,Rp786.192,Rp3.610.816,Rp9.527.936,Rp2.646.649,"3,60","0,16","8,64","52,78",SPC
31-Mei,AW10,123P,SPC0141,ITI0136,ITI,"18,33","3,71","30,00","15,00","2,00","17,00","0,00","1,00","0,00","0,00","0,00","19,00","19,00","20,00","95,00","89,47","850,00",152,Rp3.964.808,Rp755.362,Rp2.790.176,Rp7.510.346,Rp2.024.352,"3,71","0,22","8,94","40,97",SPC
31-Mei,AW10,125G,SPE0002,ITI0169,ITI,"22,00","2,98","30,00","28,00","5,00","11,00","5,50","2,50","0,00","0,00","0,00","16,00","21,50","24,00","89,58","51,16","800,00",0,Rp1.760,Rp741.034,Rp3.370.488,Rp4.113.282,Rp1.380.296,"2,98","0,27","0,00","0,00",SPE
